value	iterative	exponentiation	
1024,000000000	0,000077879	0,000046788	
2048,000000000	0,000503797	0,000025054	
4096,000000000	0,000457009	0,000066710	
8192,000000000	0,001283490	0,000146702	
16384,000000000	0,004701101	0,000509532	
32768,000000000	0,015420601	0,002022132	
65536,000000000	0,055144814	0,008923459	
131072,000000000	0,206757583	0,031692738	
262144,000000000	0,817621491	0,122825393	
524288,000000000	3,225101960	0,488839035	
1048576,000000000	12,979120338	1,946531391	
2097152,000000000	52,535643878	7,812260836	
4194304,000000000	218,157911593	31,297198386	
